Stress Period,PFHxS,PFOA,PFOS
148,0.03078392857142857,0.00026095,0.009677392857142855
149,0.031240645161290326,0.0002697709677419355,0.010044516129032259
150,0.03164733333333333,0.0002798566666666666,0.010479999999999998
151,0.03203,0.00028807419354838704,0.010832903225806451
152,0.03226333333333333,0.00029405666666666665,0.011097666666666667
153,0.032530322580645164,0.0002992516129032258,0.01132225806451613
154,0.0327516129032258,0.00030389354838709676,0.011525806451612903
155,0.03294,0.00030814666666666667,0.011714666666666663
156,0.0332116129032258,0.0003131645161290323,0.011933225806451613
157,0.03345033333333334,0.00031784666666666663,0.012140666666666664
158,0.03416064516129032,0.00032892580645161294,0.012623548387096775
159,0.03520387096774193,0.00034544838709677417,0.01335774193548387
160,0.03589551724137931,0.00035756896551724146,0.013909310344827583
161,0.03646709677419355,0.00036659999999999997,0.014315483870967743
162,0.03691266666666667,0.0003738566666666667,0.014648333333333334
163,0.03738516129032258,0.00038111935483870976,0.014978387096774192
164,0.03769533333333334,0.0003860933333333334,0.015209666666666668
165,0.038075806451612904,0.0003916806451612903,0.015463225806451611
166,0.03843096774193549,0.0003969677419354839,0.015706129032258064
167,0.038747,0.00040179,0.015931666666666667
168,0.03915806451612904,0.00040757096774193536,0.016196129032258064
169,0.03948466666666666,0.00041245333333333334,0.01642566666666667
170,0.03989193548387096,0.00041816129032258066,0.01668774193548387
171,0.040230967741935485,0.00042316774193548387,0.016921612903225806
172,0.04035607142857143,0.00042577142857142854,0.017054642857142855
173,0.04070451612903226,0.0004305709677419355,0.017271935483870966
174,0.04089733333333334,0.00043302,0.017387
175,0.04146999999999999,0.00044025806451612905,0.01771516129032258
176,0.041882666666666665,0.0004459066666666667,0.017987333333333334
177,0.042359032258064505,0.00045226129032258067,0.018282903225806453
178,0.04279225806451612,0.00045811290322580653,0.018559354838709678
179,0.043176000000000006,0.00046343,0.018813666666666666
180,0.043662258064516124,0.00046980645161290324,0.019112580645161293
181,0.04405033333333333,0.00047515999999999997,0.019370000000000002
182,0.044536129032258065,0.00048158064516129023,0.019671290322580644
183,0.04503774193548388,0.0004879967741935484,0.019973225806451615
184,0.046109642857142856,0.0005003678571428572,0.020569285714285714
185,0.047866451612903226,0.0005219064516129033,0.021588387096774197
186,0.04897200000000001,0.0005371566666666668,0.022333000000000002
187,0.0496332258064516,0.0005465677419354838,0.022789999999999998
188,0.05002966666666667,0.0005522566666666667,0.023069666666666665
189,0.05053,0.0005589129032258064,0.023393225806451617
190,0.05100225806451614,0.000565183870967742,0.023696451612903232
191,0.05142533333333333,0.0005708433333333333,0.02397866666666667
192,0.05196903225806452,0.0005778354838709677,0.024316129032258067
193,0.05240066666666667,0.00058358,0.024601
194,0.05294870967741935,0.0005905967741935484,0.024942258064516127
195,0.053425483870967745,0.0005968935483870967,0.025251612903225803
196,0.05364857142857143,0.0006003357142857144,0.025438214285714283
197,0.054319677419354846,0.0006082612903225807,0.02580709677419355
198,0.055100666666666666,0.0006179433333333334,0.026289000000000003
199,0.055803870967741934,0.0006268806451612904,0.026727096774193552
200,0.05628166666666666,0.00063321,0.02704233333333333
201,0.05687193548387096,0.0006407322580645161,0.027410645161290322
202,0.0574141935483871,0.0006476774193548389,0.02775225806451613
203,0.05789333333333334,0.0006538933333333333,0.02806533333333333
204,0.05850225806451614,0.0006615838709677418,0.028441290322580654
205,0.05922433333333334,0.0006698766666666664,0.028849666666666666
206,0.06130645161290323,0.0006932677419354839,0.02999709677419355
207,0.06337193548387098,0.0007190967741935484,0.031275483870967735
208,0.06495428571428571,0.0007403500000000001,0.0323475
209,0.06653612903225806,0.0007624161290322581,0.033435161290322576
210,0.06719499999999999,0.0007730900000000001,0.033980666666666666
211,0.06778612903225806,0.000781783870967742,0.03440806451612904
212,0.06819833333333335,0.0007882966666666667,0.03474033333333334
213,0.06877645161290322,0.000796641935483871,0.03515290322580645
214,0.06929806451612903,0.0008043870967741934,0.03554096774193548
215,0.06974033333333332,0.0008112466666666666,0.03588900000000001
216,0.07033129032258063,0.0008199354838709678,0.03631838709677419
217,0.07075166666666668,0.00082672,0.036663333333333346
218,0.07129032258064516,0.0008349516129032258,0.03707064516129032
219,0.07170612903225806,0.0008417548387096773,0.037411290322580656
220,0.07179857142857142,0.0008445321428571428,0.037570714285714284
221,0.07269483870967743,0.0008559451612903226,0.03811129032258064
222,0.07372833333333334,0.0008726500000000001,0.038954
223,0.0744674193548387,0.0008851677419354838,0.03957741935483871
224,0.07488766666666667,0.0008930066666666666,0.039972333333333325
225,0.07544225806451613,0.0009024612903225807,0.04043870967741935
226,0.07593032258064518,0.0009111516129032257,0.040872903225806445
227,0.076323,0.0009188000000000001,0.04126
228,0.07688548387096773,0.0009286645161290323,0.041746129032258064
229,0.07725833333333333,0.0009363066666666666,0.042132333333333334
230,0.07778193548387097,0.000945909677419355,0.042607096774193554
231,0.07817225806451614,0.0009539451612903227,0.043010322580645154
232,0.07820857142857143,0.0009573071428571428,0.043196428571428566
233,0.07892225806451612,0.0009682193548387097,0.04371645161290323
234,0.079276,0.0009767,0.04414466666666666
235,0.0798383870967742,0.0009875806451612903,0.044678709677419354
236,0.080196,0.0009960666666666668,0.04511
237,0.0807167741935484,0.001006709677419355,0.045633870967741935
238,0.08114451612903226,0.0010164193548387096,0.04611774193548388
239,0.08146633333333335,0.0010249666666666665,0.046545333333333334
240,0.08196258064516129,0.0010358064516129031,0.047081612903225815
241,0.082265,0.0010443666666666669,0.04751166666666666
242,0.08273032258064515,0.0010551935483870969,0.048044838709677413
243,0.0830732258064516,0.0010645483870967744,0.048509677419354844
244,0.08304321428571428,0.0010685357142857144,0.04872642857142857
245,0.0835435483870968,0.001078774193548387,0.049221290322580644
246,0.08359000000000003,0.0010824,0.049412
247,0.08380903225806452,0.0010871612903225808,0.04964387096774194
248,0.08385300000000002,0.0010890999999999997,0.049745000000000004
249,0.08405806451612903,0.0010933548387096774,0.04995129032258066
250,0.08415548387096776,0.0010963548387096776,0.050100000000000006
251,0.08415599999999998,0.0010980333333333334,0.050188666666666666
252,0.08435032258064513,0.0011021612903225806,0.05039161290322581
253,0.08440900000000001,0.0011045333333333334,0.05050799999999999
254,0.08470064516129033,0.0011107096774193544,0.05081064516129032
255,0.08489838709677418,0.0011171935483870964,0.05113064516129032
256,0.08491862068965517,0.0011216896551724139,0.051364827586206904
257,0.08532806451612902,0.0011314193548387095,0.05183741935483871
258,0.08542,0.0011366333333333333,0.052105333333333344
259,0.08575354838709676,0.0011441612903225807,0.0524716129032258
260,0.08599199999999999,0.0011516000000000002,0.05283633333333334
261,0.08634354838709678,0.0011631935483870969,0.05340709677419355
262,0.08667129032258063,0.0011744193548387093,0.05396322580645162
263,0.08688866666666664,0.0011844333333333337,0.05446
264,0.08728451612903226,0.0011970322580645162,0.05507677419354839
265,0.08746733333333333,0.0012068666666666665,0.05557066666666667
266,0.08782387096774195,0.001219161290322581,0.05617516129032258
267,0.08804387096774195,0.0012294516129032257,0.056681935483870974
268,0.08820964285714286,0.0012392857142857143,0.05716749999999999
269,0.08914709677419355,0.0012770967741935484,0.05900387096774194
270,0.089464,0.001302866666666667,0.06029166666666665
271,0.08980870967741934,0.0013188709677419356,0.061081612903225814
272,0.089908,0.0013294333333333332,0.061609000000000004
273,0.09016870967741936,0.0013427419354838706,0.062259999999999996
274,0.09032967741935484,0.0013548387096774194,0.06286032258064517
275,0.09038500000000002,0.0013655000000000006,0.06339166666666668
276,0.09063322580645161,0.0013792580645161292,0.06406870967741936
277,0.09066800000000001,0.0013899666666666666,0.06460366666666667
278,0.09088774193548387,0.001403322580645161,0.06526096774193547
279,0.09097967741935487,0.0014143225806451615,0.06580935483870969
280,0.09071714285714287,0.0014180714285714287,0.06601321428571429
281,0.09107870967741935,0.0014299354838709683,0.06659193548387098
282,0.09101533333333336,0.0014334333333333334,0.06677166666666667
283,0.09120096774193549,0.0014392903225806447,0.06705612903225808
284,0.09129866666666665,0.0014437999999999996,0.06727466666666666
285,0.09146838709677418,0.0014551935483870973,0.06782903225806451
286,0.09145741935483866,0.0014672258064516133,0.06842935483870967
287,0.09143233333333331,0.001478866666666667,0.069009
288,0.09161225806451612,0.001494129032258065,0.06975516129032258
289,0.09157533333333331,0.001505966666666667,0.07034466666666667
290,0.09172516129032263,0.001520451612903226,0.07105709677419354
291,0.09175258064516127,0.0015321290322580644,0.07164451612903228
292,0.09143892857142856,0.001536214285714286,0.07186214285714286
293,0.09177096774193548,0.001549258064516129,0.07249870967741938
294,0.09168466666666669,0.0015533333333333334,0.07271066666666667
295,0.09182354838709679,0.0015598387096774193,0.07302838709677419
296,0.09183666666666665,0.0015631999999999998,0.07319833333333332
297,0.09208548387096777,0.0015746129032258068,0.07374354838709678
298,0.0919477419354839,0.001587225806451613,0.07437645161290322
299,0.09182366666666669,0.0015996,0.07499633333333332
300,0.09192193548387098,0.0016161290322580643,0.07580709677419355
301,0.09180733333333334,0.001629033333333333,0.07645433333333335
302,0.09188677419354838,0.001645548387096774,0.07726774193548386
303,0.09185064516129031,0.0016602903225806452,0.07800258064516129
304,0.09159413793103449,0.001670137931034483,0.07850689655172413
305,0.0917483870967742,0.0016863870967741932,0.07930806451612903
306,0.09158933333333336,0.001695066666666667,0.07974966666666666
307,0.09167548387096773,0.0017052903225806453,0.08026129032258066
308,0.09168333333333335,0.0017133333333333336,0.08065900000000001
309,0.09167483870967742,0.0017285161290322582,0.0814093548387097
310,0.09153516129032255,0.001743258064516129,0.08215064516129032
311,0.09133333333333335,0.0017567999999999998,0.08283266666666665
312,0.09133193548387097,0.0017742580645161293,0.08370225806451613
313,0.09111633333333331,0.0017878333333333333,0.08438333333333332
314,0.09110032258064517,0.0018042903225806448,0.08520645161290322
315,0.09097774193548389,0.0018175806451612906,0.08587935483870968
316,0.09055464285714285,0.0018214285714285713,0.0860942857142857
317,0.0907964516129032,0.0018354516129032254,0.08679096774193548
318,0.09066466666666664,0.0018391333333333333,0.08698533333333333
319,0.09082129032258066,0.0018466129032258065,0.08735483870967743
320,0.090838,0.0018559666666666664,0.08780999999999999
321,0.0905558064516129,0.0018722903225806447,0.08863516129032258
322,0.09035483870967742,0.001888645161290323,0.08945741935483871
323,0.09007566666666666,0.0019030666666666662,0.09019200000000001
324,0.08998806451612902,0.0019218709677419356,0.09113516129032258
325,0.08969366666666666,0.0019363999999999998,0.091874
326,0.08959387096774193,0.0019545806451612907,0.09279258064516129
327,0.08939290322580645,0.001970096774193549,0.09358032258064515
328,0.08889857142857142,0.001975607142857143,0.09389142857142856
329,0.08907451612903225,0.001992709677419355,0.09474806451612904
330,0.08897266666666664,0.0019995,0.09509966666666668
331,0.08889967741935483,0.0020194516129032254,0.09608612903225806
332,0.08844366666666668,0.0020335333333333333,0.09682166666666664
333,0.08829354838709677,0.002053096774193548,0.09780967741935483
334,0.08802903225806452,0.002070774193548387,0.09871612903225806
335,0.08766133333333333,0.0020859666666666666,0.09950333333333333
336,0.08748548387096773,0.002105709677419355,0.1005032258064516
337,0.08710933333333332,0.0021208666666666666,0.10129666666666666
338,0.08692225806451612,0.0021403548387096774,0.10229354838709676
339,0.08664645161290323,0.002156806451612903,0.10313548387096776
340,0.08609714285714284,0.0021625357142857145,0.10347142857142858
341,0.08621290322580646,0.002181483870967742,0.10443225806451611
342,0.0859726666666667,0.0021875,0.10475999999999996
343,0.0860006451612903,0.0021967096774193552,0.10523225806451615
344,0.08585766666666667,0.0022007000000000003,0.10543999999999999
345,0.08591612903225802,0.002210258064516129,0.1059258064516129
346,0.0858158064516129,0.0022210967741935483,0.10647419354838708
347,0.08537499999999999,0.0022328333333333336,0.10708999999999999
348,0.08506645161290322,0.002251903225806452,0.10807419354838708
349,0.08460766666666666,0.002267166666666666,0.10888333333333335
350,0.08436645161290322,0.0022869032258064515,0.10990645161290323
351,0.08405838709677418,0.002302483870967741,0.11072580645161291
352,0.08362793103448275,0.002309379310344828,0.11111379310344827
353,0.08363903225806453,0.002323709677419355,0.11185806451612904
354,0.08352966666666667,0.002328866666666667,0.11212666666666667
355,0.08321645161290323,0.002356258064516129,0.1135225806451613
356,0.08257666666666667,0.0023729666666666665,0.11442999999999998
357,0.08229354838709677,0.0023949999999999996,0.11557741935483873
358,0.08189612903225807,0.0024139354838709683,0.1165774193548387
359,0.08141166666666667,0.002430166666666666,0.11745
360,0.08111064516129032,0.0024517096774193553,0.11857419354838712
361,0.08062233333333332,0.0024679,0.11944666666666667
362,0.08032290322580644,0.0024889354838709674,0.12056451612903225
363,0.07994161290322581,0.002506903225806452,0.12152903225806452
364,0.07933,0.002513071428571429,0.12190714285714287
365,0.07934419354838709,0.002534903225806452,0.12304516129032261
366,0.07903333333333333,0.0025425999999999995,0.12347333333333332
367,0.07897032258064517,0.002553322580645163,0.12403870967741931
368,0.078789,0.002556866666666666,0.12424999999999999
369,0.07880419354838708,0.002565774193548388,0.12470645161290322
370,0.0787290322580645,0.0025719677419354828,0.12504193548387096
371,0.07856800000000001,0.0025773333333333343,0.12532666666666667
372,0.07841709677419353,0.002591838709677419,0.12608709677419352
373,0.07791000000000001,0.0026032333333333335,0.12673000000000004
374,0.07756290322580645,0.0026219677419354833,0.12772580645161288
375,0.07719387096774193,0.0026372258064516125,0.1285548387096774
376,0.07663285714285713,0.0026405357142857138,0.12879285714285718
377,0.07676516129032258,0.002663354838709677,0.12996451612903223
