x,y,location,type
111,537,Peterson,Golf
111,538,Peterson,Golf
111,539,Peterson,Golf
111,540,Peterson,Golf
111,541,Peterson,Golf
111,542,Peterson,Golf
111,543,Peterson,Golf
111,544,Peterson,Golf
111,545,Peterson,Golf
111,546,Peterson,Golf
111,547,Peterson,Golf
111,548,Peterson,Golf
111,549,Peterson,Golf
111,550,Peterson,Golf
111,551,Peterson,Golf
111,552,Peterson,Golf
111,553,Peterson,Golf
111,554,Peterson,Golf
111,555,Peterson,Golf
111,556,Peterson,Golf
112,534,Peterson,Golf
112,535,Peterson,Golf
112,536,Peterson,Golf
112,537,Peterson,Golf
112,538,Peterson,Golf
112,539,Peterson,Golf
112,540,Peterson,Golf
112,541,Peterson,Golf
112,542,Peterson,Golf
112,543,Peterson,Golf
112,544,Peterson,Golf
112,545,Peterson,Golf
112,546,Peterson,Golf
112,547,Peterson,Golf
112,548,Peterson,Golf
112,549,Peterson,Golf
112,550,Peterson,Golf
112,551,Peterson,Golf
112,552,Peterson,Golf
112,553,Peterson,Golf
112,554,Peterson,Golf
112,555,Peterson,Golf
112,556,Peterson,Golf
113,534,Peterson,Golf
113,535,Peterson,Golf
113,536,Peterson,Golf
113,537,Peterson,Golf
113,538,Peterson,Golf
113,539,Peterson,Golf
113,540,Peterson,Golf
113,541,Peterson,Golf
113,542,Peterson,Golf
113,543,Peterson,Golf
113,544,Peterson,Golf
113,545,Peterson,Golf
113,546,Peterson,Golf
113,547,Peterson,Golf
113,548,Peterson,Golf
113,549,Peterson,Golf
113,550,Peterson,Golf
113,551,Peterson,Golf
113,552,Peterson,Golf
113,553,Peterson,Golf
113,554,Peterson,Golf
113,555,Peterson,Golf
113,556,Peterson,Golf
114,532,Peterson,Golf
114,533,Peterson,Golf
114,534,Peterson,Golf
114,535,Peterson,Golf
114,536,Peterson,Golf
114,537,Peterson,Golf
114,538,Peterson,Golf
114,539,Peterson,Golf
114,540,Peterson,Golf
114,541,Peterson,Golf
114,542,Peterson,Golf
114,543,Peterson,Golf
114,544,Peterson,Golf
114,545,Peterson,Golf
114,546,Peterson,Golf
114,547,Peterson,Golf
114,548,Peterson,Golf
114,549,Peterson,Golf
114,550,Peterson,Golf
114,551,Peterson,Golf
114,552,Peterson,Golf
114,553,Peterson,Golf
114,554,Peterson,Golf
114,555,Peterson,Golf
114,556,Peterson,Golf
115,528,Peterson,Golf
115,529,Peterson,Golf
115,530,Peterson,Golf
115,531,Peterson,Golf
115,532,Peterson,Golf
115,533,Peterson,Golf
115,534,Peterson,Golf
115,535,Peterson,Golf
115,536,Peterson,Golf
115,537,Peterson,Golf
115,538,Peterson,Golf
115,539,Peterson,Golf
115,540,Peterson,Golf
115,541,Peterson,Golf
115,542,Peterson,Golf
115,543,Peterson,Golf
115,544,Peterson,Golf
115,545,Peterson,Golf
115,546,Peterson,Golf
115,547,Peterson,Golf
115,548,Peterson,Golf
115,549,Peterson,Golf
115,550,Peterson,Golf
115,551,Peterson,Golf
115,552,Peterson,Golf
115,553,Peterson,Golf
115,554,Peterson,Golf
115,555,Peterson,Golf
115,556,Peterson,Golf
116,527,Peterson,Golf
116,528,Peterson,Golf
116,529,Peterson,Golf
116,530,Peterson,Golf
116,531,Peterson,Golf
116,532,Peterson,Golf
116,533,Peterson,Golf
116,534,Peterson,Golf
116,535,Peterson,Golf
116,536,Peterson,Golf
116,537,Peterson,Golf
116,538,Peterson,Golf
116,539,Peterson,Golf
116,540,Peterson,Golf
116,541,Peterson,Golf
116,542,Peterson,Golf
116,543,Peterson,Golf
116,544,Peterson,Golf
116,545,Peterson,Golf
116,546,Peterson,Golf
116,547,Peterson,Golf
116,548,Peterson,Golf
116,549,Peterson,Golf
116,550,Peterson,Golf
116,551,Peterson,Golf
116,552,Peterson,Golf
116,553,Peterson,Golf
116,554,Peterson,Golf
116,555,Peterson,Golf
116,556,Peterson,Golf
117,527,Peterson,Golf
117,528,Peterson,Golf
117,529,Peterson,Golf
117,530,Peterson,Golf
117,531,Peterson,Golf
117,532,Peterson,Golf
117,533,Peterson,Golf
117,534,Peterson,Golf
117,535,Peterson,Golf
117,536,Peterson,Golf
117,537,Peterson,Golf
117,538,Peterson,Golf
117,539,Peterson,Golf
117,540,Peterson,Golf
117,541,Peterson,Golf
117,542,Peterson,Golf
117,543,Peterson,Golf
117,544,Peterson,Golf
117,545,Peterson,Golf
117,546,Peterson,Golf
117,547,Peterson,Golf
117,548,Peterson,Golf
117,549,Peterson,Golf
117,550,Peterson,Golf
117,551,Peterson,Golf
117,552,Peterson,Golf
117,553,Peterson,Golf
117,554,Peterson,Golf
117,555,Peterson,Golf
117,556,Peterson,Golf
118,528,Peterson,Golf
118,529,Peterson,Golf
118,530,Peterson,Golf
