Period,CELLID,STAGE,COND,RBOT,BOUNDNAME
1,"(0, 342, 635)",1796.0,596.467,1795.9,jimmy
1,"(0, 343, 635)",1796.0,591.766,1795.9,jimmy
1,"(0, 344, 635)",1796.0,591.766,1795.9,jimmy
1,"(0, 345, 635)",1795.0,590.5905,1794.9,jimmy
1,"(0, 346, 635)",1795.0,588.534,1794.9,jimmy
1,"(0, 347, 635)",1795.0,588.534,1794.9,jimmy
1,"(0, 348, 635)",1794.0,588.8275,1793.9,jimmy
1,"(0, 349, 635)",1794.0,588.8275,1793.9,jimmy
1,"(0, 350, 635)",1794.0,588.8275,1793.9,jimmy
1,"(0, 351, 635)",1794.0,599.4055,1793.9,jimmy
1,"(0, 352, 635)",1794.0,599.6995,1793.9,jimmy
1,"(0, 353, 635)",1793.0,639.9535,1792.9,jimmy
1,"(0, 354, 635)",1793.0,485.107,1792.9,jimmy
1,"(0, 332, 634)",1800.0,567.966,1799.9,jimmy
1,"(0, 333, 634)",1800.0,97.2565,1799.9,jimmy
1,"(0, 335, 634)",1797.0,37.61,1796.9,jimmy
1,"(0, 336, 634)",1797.0,594.1165,1796.9,jimmy
1,"(0, 337, 634)",1797.0,594.1165,1796.9,jimmy
1,"(0, 338, 634)",1797.0,594.1165,1796.9,jimmy
1,"(0, 339, 634)",1797.0,597.9365,1796.9,jimmy
1,"(0, 340, 634)",1797.0,599.4055,1796.9,jimmy
1,"(0, 341, 634)",1797.0,472.4725,1796.9,jimmy
1,"(0, 354, 634)",1793.0,180.4095,1792.9,jimmy
1,"(0, 355, 634)",1793.0,665.5165,1792.9,jimmy
1,"(0, 356, 634)",1793.0,228.009,1792.9,jimmy
1,"(0, 356, 633)",1792.0,675.8005,1791.9,jimmy
1,"(0, 356, 632)",1792.0,275.315,1791.9,jimmy
1,"(0, 357, 632)",1792.0,414.295,1791.9,jimmy
1,"(0, 357, 631)",1792.0,660.5215,1791.9,jimmy
1,"(0, 358, 631)",1791.0,44.074,1790.9,jimmy
1,"(0, 358, 630)",1792.0,731.921,1791.9,jimmy
1,"(0, 359, 630)",1791.0,602.05,1790.9,jimmy
1,"(0, 360, 630)",1791.0,387.263,1790.9,jimmy
1,"(0, 360, 629)",1791.0,212.73,1790.9,jimmy
1,"(0, 361, 629)",1791.0,598.23,1790.9,jimmy
1,"(0, 362, 629)",1791.0,650.5315,1790.9,jimmy
1,"(0, 363, 629)",1791.0,327.616,1790.9,jimmy
1,"(0, 363, 628)",1791.0,689.0225,1790.9,jimmy
1,"(0, 363, 627)",1790.0,225.6585,1789.9,jimmy
1,"(0, 364, 627)",1791.0,373.453,1790.9,jimmy
1,"(0, 364, 626)",1790.0,587.9465,1789.9,jimmy
1,"(0, 363, 625)",1792.0,133.985,1791.9,jimmy
1,"(0, 364, 625)",1791.0,456.0185,1790.9,jimmy
1,"(0, 363, 624)",1792.0,307.0485,1791.9,jimmy
1,"(0, 364, 624)",1792.0,386.0875,1791.9,jimmy
1,"(0, 364, 623)",1792.0,445.1465,1791.9,jimmy
1,"(0, 365, 623)",1792.0,596.467,1791.9,jimmy
1,"(0, 366, 623)",1792.0,647.593,1791.9,jimmy
1,"(0, 367, 623)",1789.0,622.324,1788.9,jimmy
1,"(0, 367, 622)",1792.0,88.4415,1791.9,jimmy
